	nonstereo_aromatic_smiles
0	CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1
1	C(Br)(Br)Br
2	COc1ccc(cc1)C(c2ccc(cc2)OC)C(Cl)(Cl)Cl
3	CC1=C(SCCO1)C(=O)Nc2ccccc2
4	C(Cl)Br
5	CC(=O)OCN1C(=O)C(NC1=O)(c2ccccc2)c3ccccc3
6	CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O
7	CC(C)(C)Cc1ccccc1
8	CCCC(C)CO
9	CSSC
10	CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C
11	Cc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
12	C=CCC=C
13	CCC(=O)Nc1ccc(c(c1)Cl)Cl
14	CC12CC1(C(=O)N(C2=O)c3cc(cc(c3)Cl)Cl)C
15	CCOC(=O)CCN(C(C)C)SN(C)C(=O)Oc1cccc2c1OC(C2)(C)C
16	CCCCc1c(nc(nc1OS(=O)(=O)N(C)C)NCC)C
17	C(C1C(C(C(O1)(CO)O)O)O)O
18	c1cc2c(cc1C=CC=CC(=O)N3CCCCC3)OCO2
19	c1cc(ccc1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]
20	Cc1cc(=O)c2c(o1)c(c3c(c2OC)cco3)OC
21	c1cc(ccc1O)O
22	CC(C)N(c1ccccc1)C(=O)CCl
23	c1ccc2c(c1)cc3ccccc3n2
24	C1=CN(C=CN1C(C(Cl)(Cl)Cl)NC=O)C(C(Cl)(Cl)Cl)NC=O
25	C(I)I
26	c1cncnc1
27	C(C(F)(Cl)Cl)(F)(F)Cl
28	CCCCNC(=O)n1c2ccccc2nc1NC(=O)OC
29	c1cc(c(c(c1Cl)O)Cl)Cl
30	c1cc(nc(c1)Cl)C(Cl)(Cl)Cl
31	CCCCOCN(c1c(cccc1CC)CC)C(=O)CCl
32	CCSCCSP(=S)(OC)OC
33	CCCCCCCCCCCCCCCCCCCCCCCCCC
34	Cc1ccccc1n2c(nc3ccccc3c2=O)C
35	CCCC(C)(C)C
36	c1cc(c(cc1Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl
37	Cc1ccc(c(c1)C)O
38	CN1C(=C(c2ccccc2S1(=O)=O)O)C(=O)Nc3ccccn3
39	CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COC(=O)C)O)C)O)F)C
40	CC(C)C(C(=O)OC(C#N)c1cccc(c1)Oc2ccccc2)Nc3ccc(cc3Cl)C(F)(F)F
41	C(C(=O)N)Cl
42	Cc1ccc(cc1)c2ccccc2
43	CC=C(C)C
44	CCCCCCCCC
45	CCCC1COC(O1)(Cn2cncn2)c3ccc(cc3Cl)Cl
46	CC(C)(C)c1ccc(cc1)O
47	CCCCOC(=O)c1ccccc1C(=O)OCCCC
48	CC(C)C(=O)C
49	c1ccc2c(c1)cc3ccccc3c2O
50	CCCCOc1ccc(c(c1)N(CC)CC)C(=O)OCC
51	CCOP(=S)(OCC)Oc1ccc(cc1)S(=O)C
52	c1c(sc(n1)N2CCNC2=O)[N+](=O)[O-]
53	C1CC(=O)NC1
54	CCSC(=O)N(CC(C)C)CC(C)C
55	COc1cnc2c(n1)cncn2
56	CCOC(=O)c1cncn1C(C)c2ccccc2
57	COc1ccccc1Cl
58	c1cc2c(cc1O)CCCC2
59	C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl
60	C(C(Cl)Cl)Cl
61	C1C2C=CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl
62	CCCCCC(=O)OCC
63	CCCCCC#C
64	CN1c2ccccc2Oc3c(cccn3)C1=O
65	CCc1cccc(c1N(COC)C(=O)CCl)CC
66	c1cc(c(cc1Cl)Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl
67	c1cc(ccc1Cl)Br
68	CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O
69	CCCCCOC(=O)CC
70	CI
71	Cc1c(c(=O)[nH]c(=O)[nH]1)C=CC(=O)NC(CO)CS(=O)CSC
72	CCC(C)O
73	CC(C)(c1ccccc1)NC(=O)N(C)c2ccccc2
74	CC(C)(C)c1cc(cc(c1)OC(=O)NC)C(C)(C)C
75	CC1CCC(C(C1)O)C(C)C
76	CCCCCCCI
77	CCC(CC)C=O
78	CC(=O)NP(=O)(OC)SC
79	CCCC(=O)OCC
